source,target,distance,rank
EIF1,SIN3A,0.02451402115303536,1
EIF1,MCMBP,0.03042974107733476,2
EIF1,ACTB,0.030453391476074954,3
EIF1,SF3A2,0.030599868899895744,4
PSMB5,SIN3A,0.024161826292119604,1
PSMB5,MCMBP,0.029189058178385907,2
PSMB5,JAZF1,0.0349112726542804,3
PSMB5,MRPL35,0.03552553934499458,4
ANKRD11,ZBTB17,0.013628732518337072,1
ANKRD11,GPS1,0.015000917517517753,2
ANKRD11,YEATS2,0.01549552713445912,3
ANKRD11,CSNK2B,0.016773156828813085,4
PTMA,SMG5,0.1239324071934178,1
PTMA,MRPL19,0.33526001349928125,2
PTMA,OGFOD1,0.47706238578140303,3
PTMA,INTS8,0.5086333397070217,4
NFRKB,MRPL36,0.03707978630084474,1
NFRKB,CLASRP,0.038012057972698354,2
NFRKB,ACTB,0.038346129336948254,3
NFRKB,MRPL35,0.03872608091851615,4
HSP90B1,WTAP,0.009791851859113021,1
HSP90B1,MRPL38,0.010502053969187686,2
HSP90B1,HSPA8,0.011931010747768034,3
HSP90B1,GPS1,0.012671172595729918,4
TFAM,CLASRP,0.018432805299892663,1
TFAM,MRPS28,0.018686956783101394,2
TFAM,MVK,0.019091323692628004,3
TFAM,ACTB,0.019385129913835564,4
CSNK2B,GPS1,0.007955908958042435,1
CSNK2B,ZBTB17,0.00999636458627351,2
CSNK2B,YEATS2,0.010576882228644169,3
CSNK2B,SETDB1,0.011990010891206104,4
C17orf58,RPL41,0.09995850397144579,1
C17orf58,MRPL39,0.12383157255652921,2
C17orf58,YEATS4,0.13569148802103437,3
C17orf58,GFM1,0.14369118546862403,4
MED19,ACTB,0.018194840166698034,1
MED19,JAZF1,0.01958458722423717,2
MED19,TFAM,0.01968175780274506,3
MED19,CLASRP,0.019863480331681393,4
SETDB1,GPS1,0.00989051118013029,1
SETDB1,ZBTB17,0.010046882068109442,2
SETDB1,CSNK2B,0.011990010891206104,3
SETDB1,MRPL38,0.012189378510677917,4
UXS1,MRPL24,0.06430930685065228,1
UXS1,TSR1,0.09076656969956709,2
UXS1,RGPD6,0.09973711687922182,3
UXS1,MRPL16,0.10127629036376262,4
ACTB,JAZF1,0.016124804307490193,1
ACTB,MED19,0.018194840166698034,2
ACTB,MRPL36,0.018301427675524007,3
ACTB,CLASRP,0.019268595780308373,4
WTAP,HSP90B1,0.009791851859113021,1
WTAP,MRPL38,0.01039480083122124,2
WTAP,MRPS28,0.011221840524701987,3
WTAP,SETDB1,0.012986284208771903,4
YEATS2,GPS1,0.007690210385929541,1
YEATS2,ZBTB17,0.009804513925584235,2
YEATS2,CSNK2B,0.010576882228644169,3
YEATS2,SETDB1,0.0126620459057033,4
RPL41,YEATS4,0.055641917512364025,1
RPL41,MRPL39,0.05790968665741758,2
RPL41,GFM1,0.07216053100063602,3
RPL41,MRPL16,0.0749809150031594,4
MRPS28,WTAP,0.011221840524701987,1
MRPS28,HSP90B1,0.012756341126924697,2
MRPS28,E4F1,0.013136030609539162,3
MRPS28,MRPL38,0.013641198622139417,4
SIN3A,ACTB,0.019674449641823966,1
SIN3A,JAZF1,0.02128518519672029,2
SIN3A,MRPL36,0.021714880688554872,3
SIN3A,CLASRP,0.023954540345986097,4
HSPA8,MRPL38,0.011534671028900045,1
HSPA8,HSP90B1,0.011931010747768034,2
HSPA8,GPS1,0.01229053471923458,3
HSPA8,SETDB1,0.013402947232958984,4
GRSF1,MRPL38,0.012223583449418096,1
GRSF1,TTI1,0.013991471760181895,2
GRSF1,TARS2,0.014687516746273221,3
GRSF1,WTAP,0.017913228318018226,4
RAC3,ACTB,0.01932118361863233,1
RAC3,JAZF1,0.02152880235683008,2
RAC3,SIN3A,0.02474350314690721,3
RAC3,MRPL36,0.02507340648818679,4
ATP2A2,GFM1,0.06882662279046603,1
ATP2A2,TARDBP,0.06983524898199611,2
ATP2A2,MRPL4,0.07740988378987146,3
ATP2A2,MCMBP,0.08102890435172172,4
GRB2,SETDB1,0.014145071015887245,1
GRB2,GPS1,0.014489145959454275,2
GRB2,HSP90B1,0.01456681166401741,3
GRB2,WTAP,0.014608024909895323,4
JAZF1,ACTB,0.016124804307490193,1
JAZF1,MRPL36,0.017288234976544525,2
JAZF1,HSD17B10,0.018512325287012632,3
JAZF1,MED19,0.01958458722423717,4
MRPL38,TARS2,0.009383324928048609,1
MRPL38,WTAP,0.01039480083122124,2
MRPL38,HSP90B1,0.010502053969187686,3
